locus_tag	ftype	length_bp	gene	EC_number	COG	product
HNMCCAHI_00035	CDS	357				hypothetical protein
HNMCCAHI_00036	CDS	165				hypothetical protein
HNMCCAHI_00037	CDS	615	betI_1			HTH-type transcriptional regulator BetI
HNMCCAHI_00038	CDS	1419	aam_1	3.5.1.13	COG0154	Acylamidase
HNMCCAHI_00039	CDS	990				hypothetical protein
HNMCCAHI_00040	CDS	3534	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
HNMCCAHI_00041	CDS	549				hypothetical protein
HNMCCAHI_00042	CDS	750				hypothetical protein
HNMCCAHI_00043	CDS	138				hypothetical protein
HNMCCAHI_00044	CDS	654				hypothetical protein
HNMCCAHI_00045	CDS	867	garR_1	1.1.1.60		2-hydroxy-3-oxopropionate reductase
HNMCCAHI_00046	CDS	384				hypothetical protein
HNMCCAHI_00047	CDS	678	hxpA_1	3.1.3.22	COG0637	Hexitol phosphatase A
HNMCCAHI_00048	CDS	2658				hypothetical protein
HNMCCAHI_00049	CDS	654				hypothetical protein
HNMCCAHI_00050	CDS	1335				hypothetical protein
HNMCCAHI_00051	CDS	3285				hypothetical protein
HNMCCAHI_00052	CDS	3111				hypothetical protein
HNMCCAHI_00053	CDS	231				hypothetical protein
HNMCCAHI_00054	CDS	939				hypothetical protein
HNMCCAHI_00055	CDS	936	ycjP_1		COG0395	Inner membrane ABC transporter permease protein YcjP
HNMCCAHI_00056	CDS	1383	bglA_1	3.2.1.21		Beta-glucosidase A
HNMCCAHI_00057	CDS	918	htpX_1	3.4.24.-	COG0501	Protease HtpX 
HNMCCAHI_00058	CDS	1155	alpha-LP	3.4.21.12		Alpha-lytic protease
HNMCCAHI_00059	CDS	849				hypothetical protein
HNMCCAHI_00060	CDS	603				hypothetical protein
HNMCCAHI_00061	CDS	639				hypothetical protein
HNMCCAHI_00062	CDS	351				hypothetical protein
HNMCCAHI_00063	CDS	753			COG0730	putative membrane transporter protein
HNMCCAHI_00064	CDS	1347	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
HNMCCAHI_00065	CDS	552	sufS	4.4.1.16		Cysteine desulfurase
HNMCCAHI_00066	CDS	1242	garK_1	2.7.1.165	COG1929	Glycerate 2-kinase
HNMCCAHI_00067	CDS	1413				hypothetical protein
HNMCCAHI_00068	CDS	666	copR_1			Transcriptional activator protein CopR
HNMCCAHI_00069	CDS	1473	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
HNMCCAHI_00070	CDS	345				hypothetical protein
HNMCCAHI_00071	CDS	282				hypothetical protein
HNMCCAHI_00072	CDS	738				hypothetical protein
HNMCCAHI_00073	CDS	240				hypothetical protein
HNMCCAHI_00074	CDS	1380				hypothetical protein
HNMCCAHI_00075	CDS	1029				hypothetical protein
HNMCCAHI_00076	CDS	750				hypothetical protein
HNMCCAHI_00077	CDS	768				hypothetical protein
HNMCCAHI_00078	CDS	1377				hypothetical protein
HNMCCAHI_00079	CDS	1059	per	2.6.1.102	COG0399	GDP-perosamine synthase
HNMCCAHI_00080	CDS	1182		1.14.15.11	COG2124	Pentalenic acid synthase
HNMCCAHI_00081	CDS	195	suaB			Ferredoxin-1
HNMCCAHI_00082	CDS	858	pikAV_1	3.1.2.-		Thioesterase PikA5
HNMCCAHI_00083	CDS	1560				hypothetical protein
HNMCCAHI_00084	CDS	534				hypothetical protein
HNMCCAHI_00085	CDS	1143	nqo4	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit 4
HNMCCAHI_00086	CDS	1047				hypothetical protein
HNMCCAHI_00087	CDS	1206				hypothetical protein
HNMCCAHI_00088	CDS	690	liaR_1		COG2197	Transcriptional regulatory protein LiaR
HNMCCAHI_00089	CDS	1248				hypothetical protein
HNMCCAHI_00090	CDS	726				hypothetical protein
HNMCCAHI_00091	CDS	735	paaF_1	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
HNMCCAHI_00092	CDS	1245				IS200/IS605 family transposase ISMma22
HNMCCAHI_00093	CDS	159				hypothetical protein
HNMCCAHI_00094	CDS	570	cymR			HTH-type transcriptional regulator CymR
HNMCCAHI_00095	CDS	1110	citA	2.3.3.16	COG0372	Putative citrate synthase 2
HNMCCAHI_00096	CDS	690	pdxH_1	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
HNMCCAHI_00097	CDS	1386				hypothetical protein
HNMCCAHI_00098	CDS	825				hypothetical protein
HNMCCAHI_00099	CDS	693	ideR		COG1321	Iron-dependent repressor IdeR
HNMCCAHI_00100	CDS	930		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
HNMCCAHI_00101	CDS	579	slmA_1			Nucleoid occlusion factor SlmA
HNMCCAHI_00102	CDS	447				hypothetical protein
HNMCCAHI_00103	CDS	831	dinG_1	3.1.-.-		3'-5' exonuclease DinG
HNMCCAHI_00104	CDS	825			COG3346	putative SURF1-like protein
HNMCCAHI_00105	CDS	756	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
HNMCCAHI_00106	CDS	588				hypothetical protein
HNMCCAHI_00107	CDS	666				hypothetical protein
HNMCCAHI_00108	CDS	345				hypothetical protein
HNMCCAHI_00109	CDS	192				hypothetical protein
HNMCCAHI_00110	CDS	462				hypothetical protein
HNMCCAHI_00111	CDS	684				hypothetical protein
HNMCCAHI_00112	CDS	852				hypothetical protein
HNMCCAHI_00113	CDS	243	pkwA	2.7.11.1		putative serine/threonine-protein kinase PkwA
HNMCCAHI_00114	CDS	801	caiD_1	4.2.1.149		Carnitinyl-CoA dehydratase
HNMCCAHI_00115	CDS	222				hypothetical protein
HNMCCAHI_00116	CDS	1599	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
HNMCCAHI_00117	CDS	417				hypothetical protein
HNMCCAHI_00118	CDS	741				hypothetical protein
HNMCCAHI_00119	CDS	2505				hypothetical protein
HNMCCAHI_00120	CDS	1245	namA_1	1.6.99.1		NADPH dehydrogenase
HNMCCAHI_00121	CDS	513				hypothetical protein
HNMCCAHI_00122	CDS	600				hypothetical protein
HNMCCAHI_00123	CDS	1521	mdtD_1			Putative multidrug resistance protein MdtD
HNMCCAHI_00124	CDS	219				hypothetical protein
HNMCCAHI_00125	CDS	1137	yliI	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
HNMCCAHI_00126	CDS	822				hypothetical protein
HNMCCAHI_00127	CDS	648	psd	4.1.1.65		Phosphatidylserine decarboxylase proenzyme
HNMCCAHI_00128	CDS	1206	mcd	1.3.8.12	COG1960	(2S)-methylsuccinyl-CoA dehydrogenase
HNMCCAHI_00129	CDS	513	mch	4.2.1.148	COG2030	Mesaconyl-CoA hydratase
HNMCCAHI_00130	CDS	963	mcl1	4.1.3.24	COG2301	L-malyl-CoA/beta-methylmalyl-CoA lyase
HNMCCAHI_00131	CDS	2013	ecm_1	5.4.99.63	COG1884	Ethylmalonyl-CoA mutase
HNMCCAHI_00132	CDS	1338	ccrA2	1.3.1.86	COG0604	Crotonyl-CoA reductase
HNMCCAHI_00133	CDS	348				hypothetical protein
HNMCCAHI_00134	CDS	1323				hypothetical protein
HNMCCAHI_00135	CDS	1455	nhaP			K(+)/H(+) antiporter NhaP
HNMCCAHI_00136	CDS	2865				hypothetical protein
HNMCCAHI_00137	CDS	612		6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
HNMCCAHI_00138	CDS	915	gtaB	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
HNMCCAHI_00139	CDS	1425	moaE2_1	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase 2
HNMCCAHI_00140	CDS	300	moaC2	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase 2
HNMCCAHI_00141	CDS	513	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
HNMCCAHI_00142	CDS	561	rimJ_1	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
HNMCCAHI_00143	CDS	1035				hypothetical protein
HNMCCAHI_00144	CDS	819	yddE	5.1.-.-	COG0384	putative isomerase YddE
HNMCCAHI_00145	CDS	801				hypothetical protein
HNMCCAHI_00146	CDS	1770				putative protein
HNMCCAHI_00147	CDS	1521	gshA_1	6.3.2.2		Glutamate--cysteine ligase
HNMCCAHI_00148	CDS	591				hypothetical protein
HNMCCAHI_00149	CDS	207				hypothetical protein
HNMCCAHI_00150	CDS	345	gcvP_1	1.4.4.2	COG0403	putative glycine dehydrogenase (decarboxylating)
HNMCCAHI_00151	CDS	2595	gcvP_2	1.4.4.2	COG0403	putative glycine dehydrogenase (decarboxylating)
HNMCCAHI_00152	CDS	372				hypothetical protein
HNMCCAHI_00153	CDS	1365	dinB1_1	2.7.7.7	COG0389	DNA polymerase IV 1
HNMCCAHI_00154	CDS	816				hypothetical protein
HNMCCAHI_00155	CDS	477			COG1259	putative protein
HNMCCAHI_00156	CDS	732			COG0789	putative HTH-type transcriptional regulator
HNMCCAHI_00157	CDS	528				putative protein
HNMCCAHI_00158	CDS	867				hypothetical protein
HNMCCAHI_00159	CDS	333				hypothetical protein
HNMCCAHI_00160	CDS	900				hypothetical protein
HNMCCAHI_00161	tRNA	95				tRNA-Gly(tcc)
HNMCCAHI_00162	CDS	1275	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
HNMCCAHI_00163	CDS	504				hypothetical protein
HNMCCAHI_00164	CDS	1077	proB	2.7.2.11	COG0263	Glutamate 5-kinase
HNMCCAHI_00165	CDS	2094				hypothetical protein
HNMCCAHI_00166	tRNA	72				tRNA-Gly(ccc)
HNMCCAHI_00167	CDS	2010				hypothetical protein
HNMCCAHI_00168	CDS	1296				hypothetical protein
HNMCCAHI_00169	CDS	234				hypothetical protein
HNMCCAHI_00170	CDS	2316				hypothetical protein
HNMCCAHI_00171	CDS	162				hypothetical protein
HNMCCAHI_00172	CDS	1143				hypothetical protein
HNMCCAHI_00173	CDS	624				hypothetical protein
HNMCCAHI_00174	CDS	162				hypothetical protein
HNMCCAHI_00175	CDS	165				hypothetical protein
HNMCCAHI_00176	CDS	825	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
HNMCCAHI_00177	CDS	186	rpmB		COG0227	50S ribosomal protein L28
HNMCCAHI_00178	CDS	1743				putative protein
HNMCCAHI_00179	CDS	2205	recG	3.6.4.12		ATP-dependent DNA helicase RecG
HNMCCAHI_00180	CDS	588	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
HNMCCAHI_00181	CDS	510	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
HNMCCAHI_00182	CDS	1140				hypothetical protein
HNMCCAHI_00183	CDS	570			COG1399	putative protein
HNMCCAHI_00184	CDS	174	rpmF_1		COG0333	50S ribosomal protein L32
HNMCCAHI_00185	CDS	783	rnc	3.1.26.3	COG0571	Ribonuclease 3
HNMCCAHI_00186	CDS	861	fpg1	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase 1
HNMCCAHI_00187	CDS	1122	tet(X)_1	1.14.13.231		Flavin-dependent monooxygenase
HNMCCAHI_00188	CDS	297				hypothetical protein
HNMCCAHI_00189	CDS	531				hypothetical protein
HNMCCAHI_00190	CDS	1134				hypothetical protein
HNMCCAHI_00191	CDS	423				hypothetical protein
HNMCCAHI_00192	CDS	198				hypothetical protein
HNMCCAHI_00193	CDS	2319	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
HNMCCAHI_00194	CDS	963				hypothetical protein
HNMCCAHI_00195	CDS	1248				hypothetical protein
HNMCCAHI_00196	CDS	2499				hypothetical protein
HNMCCAHI_00197	CDS	1206	yehL		COG0714	putative protein YehL
HNMCCAHI_00198	CDS	1212				hypothetical protein
HNMCCAHI_00199	CDS	2091				hypothetical protein
HNMCCAHI_00200	CDS	411	ecm_2	5.4.99.63	COG1884	Ethylmalonyl-CoA mutase
HNMCCAHI_00201	CDS	948				hypothetical protein
HNMCCAHI_00202	CDS	1719				hypothetical protein
HNMCCAHI_00203	CDS	1287	glsA	3.5.1.2		Glutaminase
HNMCCAHI_00204	CDS	597	yyaP_1		COG0262	putative protein YyaP
HNMCCAHI_00205	CDS	2523	uvrD1	3.6.4.12	COG0210	ATP-dependent DNA helicase UvrD1
HNMCCAHI_00206	CDS	1176				hypothetical protein
HNMCCAHI_00207	CDS	474				hypothetical protein
HNMCCAHI_00208	CDS	354				hypothetical protein
HNMCCAHI_00209	CDS	489	lrp_1		COG1522	Leucine-responsive regulatory protein
HNMCCAHI_00210	CDS	1335	yjeH_1		COG0531	L-methionine/branched-chain amino acid exporter YjeH
HNMCCAHI_00211	CDS	1113				hypothetical protein
HNMCCAHI_00212	CDS	327				hypothetical protein
HNMCCAHI_00213	CDS	927				hypothetical protein
HNMCCAHI_00214	CDS	384				hypothetical protein
HNMCCAHI_00215	CDS	1242			COG1228	putative protein
HNMCCAHI_00216	CDS	849				hypothetical protein
HNMCCAHI_00217	CDS	900				hypothetical protein
HNMCCAHI_00218	CDS	264				hypothetical protein
HNMCCAHI_00219	CDS	339				hypothetical protein
HNMCCAHI_00220	CDS	246				hypothetical protein
HNMCCAHI_00221	CDS	366	ytrA_1		COG1725	HTH-type transcriptional repressor YtrA
HNMCCAHI_00222	CDS	996				hypothetical protein
HNMCCAHI_00223	CDS	342				hypothetical protein
HNMCCAHI_00224	CDS	624				hypothetical protein
HNMCCAHI_00225	CDS	1044		2.5.1.10	COG0142	(2E,6E)-farnesyl diphosphate synthase
HNMCCAHI_00226	CDS	2733	acnA	4.2.1.3	COG1048	Aconitate hydratase A
HNMCCAHI_00227	CDS	339				hypothetical protein
HNMCCAHI_00228	CDS	1227				hypothetical protein
HNMCCAHI_00229	CDS	564				hypothetical protein
HNMCCAHI_00230	CDS	492				hypothetical protein
HNMCCAHI_00231	CDS	597				hypothetical protein
HNMCCAHI_00232	CDS	1530	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
HNMCCAHI_00233	CDS	2265				hypothetical protein
HNMCCAHI_00234	CDS	231				hypothetical protein
HNMCCAHI_00235	CDS	927	fadM	1.5.5.2	COG0506	Proline dehydrogenase 1
HNMCCAHI_00236	CDS	1632	rocA_1	1.2.1.88		1-pyrroline-5-carboxylate dehydrogenase
HNMCCAHI_00237	CDS	741				hypothetical protein
HNMCCAHI_00238	CDS	1206				hypothetical protein
HNMCCAHI_00239	CDS	864				hypothetical protein
HNMCCAHI_00240	CDS	474				hypothetical protein
HNMCCAHI_00241	CDS	540				hypothetical protein
HNMCCAHI_00242	CDS	387				hypothetical protein
HNMCCAHI_00243	CDS	957	ligC_1	6.5.1.1	COG1793	DNA ligase C1
HNMCCAHI_00244	CDS	621				hypothetical protein
HNMCCAHI_00245	CDS	540				hypothetical protein
HNMCCAHI_00246	CDS	240				hypothetical protein
HNMCCAHI_00247	CDS	2784				Tn3 family transposase TnXo19
HNMCCAHI_00248	CDS	1212				hypothetical protein
HNMCCAHI_00249	CDS	876				hypothetical protein
HNMCCAHI_00250	CDS	573				hypothetical protein
HNMCCAHI_00251	CDS	126				hypothetical protein
HNMCCAHI_00252	CDS	837				hypothetical protein
HNMCCAHI_00253	CDS	210				hypothetical protein
HNMCCAHI_00254	CDS	630				hypothetical protein
HNMCCAHI_00255	CDS	168				hypothetical protein
HNMCCAHI_00256	CDS	735				hypothetical protein
HNMCCAHI_00257	CDS	345				hypothetical protein
HNMCCAHI_00258	CDS	213				hypothetical protein
HNMCCAHI_00259	CDS	393				hypothetical protein
HNMCCAHI_00260	CDS	228				hypothetical protein
HNMCCAHI_00261	CDS	1143				hypothetical protein
HNMCCAHI_00262	CDS	414				hypothetical protein
HNMCCAHI_00263	CDS	855				hypothetical protein
HNMCCAHI_00264	CDS	144				hypothetical protein
HNMCCAHI_00265	CDS	2727	polA	2.7.7.7	COG0258	DNA polymerase I
HNMCCAHI_00266	CDS	2277		1.-.-.-	COG0243	putative oxidoreductase
HNMCCAHI_00267	CDS	474	entH	3.1.2.-		Proofreading thioesterase EntH
HNMCCAHI_00268	CDS	807	yokD	2.3.1.-	COG2746	SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
HNMCCAHI_00269	CDS	744				hypothetical protein
HNMCCAHI_00270	CDS	687				hypothetical protein
HNMCCAHI_00271	CDS	909				hypothetical protein
HNMCCAHI_00272	CDS	1215	ydhP_1		COG2814	Inner membrane transport protein YdhP
HNMCCAHI_00273	CDS	837		1.-.-.-	COG0656	putative oxidoreductase/MSMEI_2347
HNMCCAHI_00274	CDS	1209	ydhP_2		COG2814	Inner membrane transport protein YdhP
HNMCCAHI_00275	CDS	603	tet(X)_2	1.14.13.231		Flavin-dependent monooxygenase
HNMCCAHI_00276	CDS	417				hypothetical protein
HNMCCAHI_00277	CDS	663	pal			Peptidoglycan-associated lipoprotein
HNMCCAHI_00278	CDS	294				hypothetical protein
HNMCCAHI_00279	CDS	243				hypothetical protein
HNMCCAHI_00280	CDS	669			COG3039	IS5 family transposase ISStro2
HNMCCAHI_00281	CDS	591				hypothetical protein
HNMCCAHI_00282	CDS	2625				hypothetical protein
HNMCCAHI_00283	CDS	1179	xerC			Tyrosine recombinase XerC
HNMCCAHI_00284	CDS	246				hypothetical protein
HNMCCAHI_00285	CDS	1107				hypothetical protein
HNMCCAHI_00286	CDS	189				hypothetical protein
HNMCCAHI_00287	CDS	396				hypothetical protein
HNMCCAHI_00288	CDS	1341	iucD_1	1.14.13.59	COG3486	L-lysine N6-monooxygenase
HNMCCAHI_00289	CDS	639	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
HNMCCAHI_00290	CDS	309				hypothetical protein
HNMCCAHI_00291	CDS	1503				hypothetical protein
HNMCCAHI_00292	CDS	984				hypothetical protein
HNMCCAHI_00293	CDS	1302	dapE_1	3.5.1.18		Succinyl-diaminopimelate desuccinylase
HNMCCAHI_00294	CDS	1494				hypothetical protein
HNMCCAHI_00295	CDS	591	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
HNMCCAHI_00296	CDS	378				hypothetical protein
HNMCCAHI_00297	CDS	591				hypothetical protein
HNMCCAHI_00298	CDS	729				hypothetical protein
HNMCCAHI_00299	CDS	1104	fgd_1	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
HNMCCAHI_00300	CDS	432				hypothetical protein
HNMCCAHI_00301	CDS	774		1.-.-.-	COG4221	putative oxidoreductase
HNMCCAHI_00302	CDS	210				hypothetical protein
HNMCCAHI_00303	CDS	1434	dauA		COG0659	C4-dicarboxylic acid transporter DauA
HNMCCAHI_00304	CDS	909				hypothetical protein
HNMCCAHI_00305	CDS	480				hypothetical protein
HNMCCAHI_00306	CDS	2154				hypothetical protein
HNMCCAHI_00307	CDS	711				hypothetical protein
HNMCCAHI_00308	CDS	1053	arnA	2.1.2.13		Bifunctional polymyxin resistance protein ArnA
HNMCCAHI_00309	CDS	1179		1.14.13.239		Carnitine monooxygenase oxygenase subunit
HNMCCAHI_00310	CDS	1191				hypothetical protein
HNMCCAHI_00311	CDS	876	argP			HTH-type transcriptional regulator ArgP
HNMCCAHI_00312	CDS	1830			COG0737	Cell wall protein
HNMCCAHI_00313	CDS	924	mshD_1	2.3.1.189	COG0456	Mycothiol acetyltransferase
HNMCCAHI_00314	CDS	336				hypothetical protein
HNMCCAHI_00315	CDS	603				hypothetical protein
HNMCCAHI_00316	CDS	183				hypothetical protein
HNMCCAHI_00317	CDS	255				hypothetical protein
HNMCCAHI_00318	CDS	123				hypothetical protein
HNMCCAHI_00319	CDS	390				hypothetical protein
HNMCCAHI_00320	CDS	1008				hypothetical protein
HNMCCAHI_00321	CDS	918		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
HNMCCAHI_00322	CDS	192				hypothetical protein
HNMCCAHI_00323	CDS	591				hypothetical protein
HNMCCAHI_00324	CDS	885				hypothetical protein
HNMCCAHI_00325	CDS	2313	ppk	2.7.4.1	COG0855	Polyphosphate kinase
HNMCCAHI_00326	CDS	999				hypothetical protein
HNMCCAHI_00327	CDS	228				hypothetical protein
HNMCCAHI_00328	CDS	408		3.1.-.-		Ribonuclease VapC21
HNMCCAHI_00329	CDS	459				hypothetical protein
HNMCCAHI_00330	CDS	714	hchA	3.1.2.-	COG0693	Protein/nucleic acid deglycase 1
HNMCCAHI_00331	CDS	369				hypothetical protein
HNMCCAHI_00332	CDS	843			COG0596	putative protein
HNMCCAHI_00333	CDS	468				hypothetical protein
HNMCCAHI_00334	CDS	1629	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
HNMCCAHI_00335	CDS	516				hypothetical protein
HNMCCAHI_00336	CDS	1413				hypothetical protein
HNMCCAHI_00337	CDS	753	ygfF	1.-.-.-		putative oxidoreductase YgfF
HNMCCAHI_00338	CDS	540				hypothetical protein
HNMCCAHI_00339	CDS	471				hypothetical protein
HNMCCAHI_00340	CDS	795				hypothetical protein
HNMCCAHI_00341	CDS	204				hypothetical protein
HNMCCAHI_00342	CDS	228				hypothetical protein
HNMCCAHI_00343	CDS	1059				hypothetical protein
HNMCCAHI_00344	CDS	1251				hypothetical protein
HNMCCAHI_00345	CDS	762	nreC_1		COG2197	Oxygen regulatory protein NreC
HNMCCAHI_00346	CDS	1779	betP_1		COG1292	Glycine betaine transporter BetP
HNMCCAHI_00347	CDS	1284				hypothetical protein
HNMCCAHI_00348	CDS	627	resA_1			Thiol-disulfide oxidoreductase ResA
HNMCCAHI_00349	CDS	804				hypothetical protein
HNMCCAHI_00350	CDS	1821	ccs1			Cytochrome c biogenesis protein Ccs1
HNMCCAHI_00351	CDS	1086	ccsA			Cytochrome c biogenesis protein CcsA
HNMCCAHI_00352	CDS	519				hypothetical protein
HNMCCAHI_00353	CDS	408				hypothetical protein
HNMCCAHI_00354	CDS	1497	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
HNMCCAHI_00355	CDS	924	COQ2	2.5.1.39		4-hydroxybenzoate polyprenyltransferase, mitochondrial
HNMCCAHI_00356	CDS	678	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
HNMCCAHI_00357	CDS	639				hypothetical protein
HNMCCAHI_00358	CDS	2064				hypothetical protein
HNMCCAHI_00359	CDS	489				hypothetical protein
HNMCCAHI_00360	CDS	1593	mctC_1		COG4147	Monocarboxylic acid transporter
HNMCCAHI_00361	CDS	909				hypothetical protein
HNMCCAHI_00362	CDS	669				hypothetical protein
HNMCCAHI_00363	CDS	366	cytR_2		COG1609	HTH-type transcriptional repressor CytR
HNMCCAHI_00364	CDS	1410				hypothetical protein
HNMCCAHI_00365	CDS	957	araP_1		COG1175	L-arabinose transport system permease protein AraP
HNMCCAHI_00366	CDS	876	dasC_1		COG0395	Diacetylchitobiose uptake system permease protein DasC
HNMCCAHI_00367	CDS	1596	treC	3.2.1.93	COG0366	Trehalose-6-phosphate hydrolase
HNMCCAHI_00368	CDS	1119	yciC_1		COG0523	Putative metal chaperone YciC
HNMCCAHI_00369	CDS	573				hypothetical protein
HNMCCAHI_00370	CDS	573				hypothetical protein
HNMCCAHI_00371	CDS	1176	dhmA	3.8.1.5		Haloalkane dehalogenase
HNMCCAHI_00372	CDS	3123				hypothetical protein
HNMCCAHI_00373	CDS	1665	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
HNMCCAHI_00374	CDS	606				hypothetical protein
HNMCCAHI_00375	CDS	333				hypothetical protein
HNMCCAHI_00376	CDS	450				hypothetical protein
HNMCCAHI_00377	CDS	1257	arcA_1	3.5.3.6	COG2235	Arginine deiminase
HNMCCAHI_00378	CDS	426				hypothetical protein
HNMCCAHI_00379	CDS	969	nphR			Transcriptional activator NphR
HNMCCAHI_00380	CDS	720				hypothetical protein
HNMCCAHI_00381	CDS	321				hypothetical protein
HNMCCAHI_00382	CDS	1203	nadA	2.5.1.72	COG0379	Quinolinate synthase A
HNMCCAHI_00383	CDS	357				Protein
HNMCCAHI_00384	CDS	1029				hypothetical protein
HNMCCAHI_00385	CDS	1383				hypothetical protein
HNMCCAHI_00386	CDS	210				hypothetical protein
HNMCCAHI_00387	CDS	975	adoK	2.7.1.20	COG0524	Adenosine kinase
HNMCCAHI_00388	CDS	1452	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
HNMCCAHI_00389	CDS	1152	malY		COG1168	Protein MalY
HNMCCAHI_00390	CDS	1530	stp_1			Multidrug resistance protein Stp
HNMCCAHI_00391	CDS	414				hypothetical protein
HNMCCAHI_00392	CDS	915				hypothetical protein
HNMCCAHI_00393	CDS	891	kynA_1	1.13.11.11	COG3483	Tryptophan 2,3-dioxygenase
HNMCCAHI_00394	CDS	990				hypothetical protein
HNMCCAHI_00395	CDS	1311				hypothetical protein
HNMCCAHI_00396	CDS	522	algU		COG1595	RNA polymerase sigma-H factor
HNMCCAHI_00397	CDS	438				hypothetical protein
HNMCCAHI_00398	CDS	1239				hypothetical protein
HNMCCAHI_00399	CDS	855	ramC_1	2.7.-.-	COG0515	putative SapB synthase
HNMCCAHI_00400	CDS	2277	glgX_1	3.2.1.-	COG1523	Glycogen operon protein GlgX 
